"Geographic code","Geographic name, english","Geographic name, french","Geographic type, english","Geographic type, french","Province / territory, english","Province / territory, french","Geographic code, Province / territory","Additional province code","Population, 2016","Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2011","2011 adjusted population flag","Incompletely enumerated Indian reserves and Indian settlements, 2011","Population, % change","Total private dwellings, 2016","Total private dwellings, 2011","2011 adjusted total private dwellings flag","Total private dwellings, % change","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents, 2011","2011 adjusted private dwellings occupied by usual residents flag","Private dwellings occupied by usual residents, % change","Land area in square kilometres, 2016","Population density per square kilometre, 2016","National population rank, 2016","Provincial/territorial population rank, 2016"
"934","Squamish","Squamish","Census agglomeration (CA)","Agglomération de recensement (AR)","British Columbia","Colombie-Britannique",59,,19893,F,17479,F,F,13.8,7702,7069,F,9.0,7377,6626,F,11.3,105.59,188.4,109,19
"935","Victoria","Victoria","Census metropolitan area (CMA)","Région métropolitaine de recensement (RMR)","British Columbia","Colombie-Britannique",59,,367770,T,344580,T,T,6.7,172559,167205,T,3.2,162716,153307,T,6.1,696.15,528.3,15,2
"937","Duncan","Duncan","Census agglomeration (CA)","Agglomération de recensement (AR)","British Columbia","Colombie-Britannique",59,,44451,F,43252,F,F,2.8,19732,18793,F,5.0,18744,17822,F,5.2,373.71,118.9,66,11
"938","Nanaimo","Nanaimo","Census agglomeration (CA)","Agglomération de recensement (AR)","British Columbia","Colombie-Britannique",59,,104936,F,98021,F,F,7.1,46928,44795,F,4.8,44963,41902,F,7.3,1280.84,81.9,35,5
"939","Parksville","Parksville","Census agglomeration (CA)","Agglomération de recensement (AR)","British Columbia","Colombie-Britannique",59,,28922,F,27822,F,F,4.0,14642,14173,F,3.3,13751,12983,F,5.9,81.86,353.3,90,14
"940","Port Alberni","Port Alberni","Census agglomeration (CA)","Agglomération de recensement (AR)","British Columbia","Colombie-Britannique",59,,25112,F,25465,F,F,-1.4,12307,12210,F,0.8,11361,11201,F,1.4,1729.39,14.5,102,17
"943","Courtenay","Courtenay","Census agglomeration (CA)","Agglomération de recensement (AR)","British Columbia","Colombie-Britannique",59,,54157,F,51787,T,F,4.6,26140,24833,T,5.3,24436,23094,T,5.8,596.00,90.9,61,10
"944","Campbell River","Campbell River","Census agglomeration (CA)","Agglomération de recensement (AR)","British Columbia","Colombie-Britannique",59,,37861,F,36096,F,F,4.9,17200,16409,F,4.8,16389,15418,F,6.3,1737.71,21.8,75,13
"945","Powell River","Powell River","Census agglomeration (CA)","Agglomération de recensement (AR)","British Columbia","Colombie-Britannique",59,,16783,F,16689,F,F,0.6,8332,8201,F,1.6,7736,7510,F,3.0,800.72,21.0,121,23
"950","Williams Lake","Williams Lake","Census agglomeration (CA)","Agglomération de recensement (AR)","British Columbia","Colombie-Britannique",59,,18277,F,18490,F,F,-1.2,8379,8372,F,0.1,7620,7630,F,-0.1,2657.80,6.9,117,21
"952","Quesnel","Quesnel","Census agglomeration (CA)","Agglomération de recensement (AR)","British Columbia","Colombie-Britannique",59,,23146,F,23566,T,F,-1.8,10768,10618,T,1.4,10038,9876,T,1.6,21751.30,1.1,106,18
"955","Prince Rupert","Prince Rupert","Census agglomeration (CA)","Agglomération de recensement (AR)","British Columbia","Colombie-Britannique",59,,12687,F,13052,F,F,-2.8,5896,6059,F,-2.7,5102,5185,F,-1.6,234.29,54.2,146,25
"965","Terrace","Terrace","Census agglomeration (CA)","Agglomération de recensement (AR)","British Columbia","Colombie-Britannique",59,,15723,F,15569,F,F,1.0,6752,6673,F,1.2,6362,6241,F,1.9,73.91,212.7,128,24
"970","Prince George","Prince George","Census agglomeration (CA)","Agglomération de recensement (AR)","British Columbia","Colombie-Britannique",59,,86622,F,84232,F,F,2.8,37394,37176,F,0.6,35095,33990,F,3.3,17686.12,4.9,45,8
"975","Dawson Creek","Dawson Creek","Census agglomeration (CA)","Agglomération de recensement (AR)","British Columbia","Colombie-Britannique",59,,12178,F,11583,F,F,5.1,6020,5406,F,11.4,5035,4859,F,3.6,24.37,499.8,148,26
"977","Fort St. John","Fort St. John","Census agglomeration (CA)","Agglomération de recensement (AR)","British Columbia","Colombie-Britannique",59,,28396,F,26380,F,F,7.6,12737,11210,F,13.6,10965,10351,F,5.9,620.80,45.7,95,15
"990","Whitehorse","Whitehorse","Census agglomeration (CA)","Agglomération de recensement (AR)","Yukon","Yukon",60,,28225,F,26028,F,F,8.4,12516,11167,F,12.1,11625,10525,F,10.5,8488.95,3.3,96,1
"995","Yellowknife","Yellowknife","Census agglomeration (CA)","Agglomération de recensement (AR)","Northwest Territories","Territoires du Nord-Ouest",61,,19569,F,19234,F,F,1.7,7758,7286,F,6.5,7131,6938,F,2.8,105.47,185.5,111,1

Note:
"Incompletely enumerated Indian reserves and Indian settlements, 2016","T = excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements."
"Incompletely enumerated Indian reserves and Indian settlements, 2011","T = excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements."
"2011 adjusted population flag","T = adjusted figure due to boundary change."
"2011 adjusted total private dwellings flag","T = adjusted figure due to boundary change."
"2011 adjusted private dwellings occupied by usual residents flag","T = adjusted figure due to boundary change."
"For further information, refer to: http://www12.statcan.gc.ca/census-recensement/2016/dp-pd/hlt-fst/pd-pl/About.cfm."

"Source: Statistics Canada, 2016 Census of Population."
"How to cite: Statistics Canada. 2017. Population and Dwelling Count Highlight Tables. 2016 Census."
"Statistics Canada Catalogue no. 98-402-X2016001. Ottawa. Released February 8, 2017."
