"Geographic code","Geographic name","CSD type","Province or territory","Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2016","Population, 2011","2011 adjusted population flag","Incompletely enumerated Indian reserves and Indian settlements, 2011","2016 population review flag","2011 population review or received update flag","Population, % change","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016","National population rank, 2016","Provincial/territorial population rank, 2016"
"5915034","Coquitlam",City (CY),"British Columbia",F,139284,126804,T,F,F,B,9.8,54393,51325,122.30,1138.9,36,6
"2437067","Trois-Rivières",Ville (V),"Quebec",F,134413,131338,F,F,F,,2.3,67771,63157,289.32,464.6,37,9
"3526053","St. Catharines",City (CY),"Ontario",F,133113,131400,F,F,F,,1.3,59879,56873,96.13,1384.8,38,17
"3523008","Guelph",City (CY),"Ontario",F,131794,121688,F,F,F,,8.3,55927,52090,87.22,1511.1,39,18
"3530010","Cambridge",City (CY),"Ontario",F,129920,126748,F,F,F,,2.5,49388,48239,113.01,1149.6,40,19
"3518009","Whitby",Town (T),"Ontario",F,128377,122022,F,F,F,,5.2,44195,43529,146.66,875.4,41,20
"5935010","Kelowna",City (CY),"British Columbia",F,127380,117312,F,F,F,,8.6,57433,53903,211.85,601.3,42,7
"3510010","Kingston",City (CY),"Ontario",F,123798,123363,F,F,F,,0.4,59977,53518,451.19,274.4,43,21
"3518005","Ajax",Town (T),"Ontario",F,119677,109600,F,F,F,,9.2,38105,37549,67.00,1786.4,44,22
"5915001","Langley",District municipality (DM),"British Columbia",F,117285,104177,F,F,F,,12.6,43720,41982,308.03,380.8,45,8
"5917021","Saanich",District municipality (DM),"British Columbia",F,114148,109752,F,F,F,,4.0,49422,46652,103.78,1099.9,46,9
"2464008","Terrebonne",Ville (V),"Quebec",F,111575,106322,F,F,F,,4.9,42622,41801,154.12,723.9,47,10
"3524009","Milton",Town (T),"Ontario",F,110128,84362,F,F,F,,30.5,35537,34257,363.22,303.2,48,23
"1001519","St. John's",City (CY),"Newfoundland and Labrador",F,108860,106172,F,F,F,,2.5,52410,47627,445.88,244.1,49,1
"3558004","Thunder Bay",City (CY),"Ontario",F,107909,108359,F,F,F,,-0.4,50388,47182,328.36,328.6,50,24
"3530016","Waterloo",City (CY),"Ontario",F,104986,98780,F,F,F,,6.3,46096,40381,64.02,1639.8,51,25
"5915011","Delta",District municipality (DM),"British Columbia",F,102238,99863,F,F,F,,2.4,37590,35758,180.20,567.4,52,10
"3536020","Chatham-Kent",Municipality (MU),"Ontario",F,101647,103671,F,F,F,,-2.0,46103,43026,2457.90,41.4,53,26
"4808011","Red Deer",City (CY),"Alberta",F,100418,90564,F,F,F,,10.9,42285,39982,104.73,958.8,54,3
"4811052","Strathcona County",Specialized municipality (SM),"Alberta",F,98044,92490,F,F,F,,6.0,36354,35567,1182.78,82.9,55,4
"3529006","Brantford",City (CY),"Ontario",F,97496,93650,F,F,F,,4.1,40732,39215,72.44,1345.9,56,27
"2456083","Saint-Jean-sur-Richelieu",Ville (V),"Quebec",F,95114,92394,F,F,F,,2.9,42036,40843,226.63,419.7,57,11
"1217030","Cape Breton",Regional municipality (RGM),"Nova Scotia",F,94285,97398,F,F,F,,-3.2,45742,41679,2430.06,38.8,58,2
"4802012","Lethbridge",City (CY),"Alberta",F,92729,83517,F,F,F,,11.0,39867,37575,122.09,759.5,59,5
"3518017","Clarington",Municipality (MU),"Ontario",F,92013,84548,F,F,F,,8.8,33384,32838,611.40,150.5,60,28
"3518001","Pickering",City (CY),"Ontario",F,91771,88721,F,F,F,,3.4,31630,30919,231.55,396.3,61,29
"5921007","Nanaimo",City (CY),"British Columbia",F,90504,83810,F,F,F,,8.0,40885,39165,90.76,997.2,62,11
"5933042","Kamloops",City (CY),"British Columbia",F,90280,85678,F,F,F,,5.4,39081,36814,299.25,301.7,63,12
"3526043","Niagara Falls",City (CY),"Ontario",F,88071,82997,F,F,F,,6.1,37265,35773,209.73,419.9,64,30
"5915046","North Vancouver",District municipality (DM),"British Columbia",F,85935,84412,F,F,F,,1.8,32624,31116,160.76,534.6,65,13
"5917034","Victoria",City (CY),"British Columbia",F,85792,80017,F,F,F,,7.2,49212,45762,19.47,4405.8,66,14
"2458007","Brossard",Ville (V),"Quebec",F,85721,79273,F,F,F,,8.1,34249,33257,45.23,1895.4,67,12
"2460013","Repentigny",Ville (V),"Quebec",F,84285,82000,F,F,F,,2.8,33876,33321,61.23,1376.5,68,13
"3519048","Newmarket",Town (T),"Ontario",F,84224,79978,F,F,F,,5.3,29315,28673,38.45,2190.5,69,31
"5909020","Chilliwack",City (CY),"British Columbia",F,83788,77936,F,F,F,,7.5,34038,32440,261.65,320.2,70,15
"5915075","Maple Ridge",City (CY),"British Columbia",F,82256,76052,F,F,F,,8.2,31400,30262,266.78,308.3,71,16
"3515014","Peterborough",City (CY),"Ontario",F,81032,78777,T,F,F,D,2.9,36785,34710,64.25,1261.2,72,32
"2449058","Drummondville",Ville (V),"Quebec",F,75423,71852,F,F,F,,5.0,35402,34018,247.15,305.2,73,14
"3516010","Kawartha Lakes",City (CY),"Ontario",F,75423,73219,T,F,F,D,3.0,38444,31106,3084.38,24.5,73,33
"2475017","Saint-Jérôme",Ville (V),"Quebec",F,74346,68456,F,F,F,,8.6,35316,33642,90.44,822.1,75,15
"5953023","Prince George",City (CY),"British Columbia",F,74003,71974,F,F,F,,2.8,32098,30236,318.26,232.5,76,17
"3557061","Sault Ste. Marie",City (CY),"Ontario",F,73368,75141,F,F,F,,-2.4,34485,32634,223.24,328.6,77,34
"1307022","Moncton",City (C),"New Brunswick",F,71889,69074,F,F,F,,4.1,35380,32135,141.92,506.5,78,1
"3538030","Sarnia",City (CY),"Ontario",F,71594,72366,F,F,F,,-1.1,33324,31937,164.85,434.3,79,35
"4816037","Wood Buffalo",Specialized municipality (SM),"Alberta",F,71589,65565,F,F,F,,9.2,30713,25659,61777.65,1.2,80,6
"5915029","New Westminster",City (CY),"British Columbia",F,70996,65976,F,F,F,,7.6,34235,32708,15.63,4543.4,81,18
"1301006","Saint John",City (C),"New Brunswick",F,67575,70063,F,F,F,,-3.6,33801,30208,315.96,213.9,82,2
"3521024","Caledon",Town (T),"Ontario",F,66502,59460,F,F,F,,11.8,22021,21256,688.16,96.6,83,36
